route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
01,2,2144147,1A Kipps Lane via Wellington & Dundas,,1,105009,73817,0,0
01,2,2144152,1B Kipps Lane via Wellington & Dundas,,1,105017,73818,0,0
01,2,2144148,1A Kipps Lane via Wellington & Dundas,,1,105014,73817,0,0
01,2,2144153,1B Kipps Lane via Wellington & Dundas,,1,105016,73818,0,0
01,2,2144149,1A Kipps Lane via Wellington & Dundas,,1,105015,73817,0,0
01,2,2144154,1B Kipps Lane via Wellington & Dundas,,1,105011,73818,0,0
01,2,2144150,1A Kipps Lane via Wellington & Dundas,,1,105010,73817,0,0
01,2,2144158,1B Kipps Lane via Wellington & Dundas,,1,105009,73818,0,0
01,2,2144172,1A Pond Mills & Thompson Only,,1,105017,73819,0,0
01,2,2144165,1A Kipps Lane via Wellington & Dundas,,1,105014,73817,0,0
01,2,2144159,1B Kipps Lane via Wellington & Dundas,,1,105015,73818,0,0
01,2,2144166,1A Kipps Lane via Wellington & Dundas,,1,105011,73817,0,0
01,2,2144160,1B Kipps Lane via Wellington & Dundas,,1,105010,73818,0,0
01,2,2144167,1A Kipps Lane via Wellington & Dundas,,1,105009,73817,0,0
01,2,2144161,1B Kipps Lane via Wellington & Dundas,,1,105014,73818,0,0
01,2,2144168,1A Kipps Lane via Wellington & Dundas,,1,105015,73817,0,0
01,2,2144162,1B Kipps Lane via Wellington & Dundas,,1,105011,73818,0,0
01,2,2144169,1A Kipps Lane via Wellington & Dundas,,1,105010,73817,0,0
01,2,2144163,1B Kipps Lane via Wellington & Dundas,,1,105009,73818,0,0
01,2,2144170,1A Kipps Lane via Wellington & Dundas,,1,105014,73817,0,0
01,2,2144164,1B Kipps Lane via Wellington & Dundas,,1,105015,73818,0,0
01,2,2144171,1A Kipps Lane via Wellington & Dundas,,1,105011,73817,0,0
01,2,2144196,Kipps and Adelaide,,1,105012,73816,0,0
01,2,2144173,1B Kipps Lane via Wellington & Dundas,,1,105010,73818,0,0
01,2,2144177,1A Kipps Lane via Wellington & Dundas,,1,105009,73817,0,0
01,2,2144174,1B Kipps Lane via Wellington & Dundas,,1,105013,73818,0,0
01,2,2144178,1A Kipps Lane via Wellington & Dundas,,1,105014,73817,0,0
01,2,2144175,1B Kipps Lane via Wellington & Dundas,,1,105015,73818,0,0
01,2,2144179,1A Kipps Lane via Wellington & Dundas,,1,105011,73817,0,0
01,2,2144176,1B Kipps Lane via Wellington & Dundas,,1,105012,73818,0,0
01,2,2144180,1A Kipps Lane via Wellington & Dundas,,1,105010,73817,0,0
01,2,2144181,1B Kipps Lane via Wellington & Dundas,,1,105009,73818,0,0
01,2,2144185,1A Kipps Lane via Wellington & Dundas,,1,105013,73817,0,0
01,2,2144182,1B Kipps Lane via Wellington & Dundas,,1,105014,73818,0,0
01,2,2144186,1A Kipps Lane via Wellington & Dundas,,1,105015,73817,0,0
01,2,2144183,1B Kipps Lane via Wellington & Dundas,,1,105011,73818,0,0
01,2,2144187,1A Kipps Lane via Wellington & Dundas,,1,105012,73817,0,0
01,2,2144184,1B Kipps Lane via Wellington & Dundas,,1,105010,73818,0,0
01,2,2144188,1A Kipps Lane via Wellington & Dundas,,1,105009,73817,0,0
01,2,2144197,1B King edward & Thompson Only,,1,105013,73820,0,0
